355041	Happy birthday, Muiriel!
269051	We were back to square one.
506446*	Don't worry.
269017*	Don't worry. You can count on me.
269004	The heart is made of muscle.
269002*	The function of the heart is to pump blood.
268957*	That sounds very tempting.
503830*	Lack of sleep is bad for your health.
258769*	I overslept.
258763*	I forgot to turn off the TV before going to bed.
1271567*	It's time for bed.
1427161	It doesn't matter whether I'm sleeping or awake, I'm always thinking about you.
388323*	The Shinano River is the longest river in Japan.
268831	Believe it or not, a monster emerged from the cave.
268823*	Do you believe me?
954991*	Trust me.
503835*	We still have a lot of food left.
268773*	Where's the dining car?
268754*	It's important to follow a strict diet.
394114	We want you to behave yourself during meals.
268744*	We shared the cost of the meal.
1293085	Eat meals slowly.
268698*	Dinner's ready.
268696*	When the food is bad, it's a real letdown.
1341297*	Brush your teeth after eating.
268682*	I got a rash on my hands from dishwasher detergent.
268673*	My throat hurts when I swallow.
268657*	Some kinds of food make us thirsty.
268651*	The food disagreed with him.
268650*	I have difficulty chewing.
268646*	Eating too much may lead to sickness.
536360*	Eating too much is bad for your health.
268626*	Eat as much as you like.
1493010	Don't touch it!
30212*	Let sleeping dogs lie.
268609	I think it's about time you stopped putting your belly before your looks.
268607*	Do you have this in any other colors?
268598	The workmen were climbing up and down the ladder.
268582*	The flower pot crashed to the sidewalk.
268570*	All plants need water and light.
1303097*	Because of the pills I took, the pain went away.
268535	The situation is capable of improvement.
268479*	You should always do your best.
268476*	Please tell me your location.
268459	Don't pull my leg!
4199546	Stop joking.
268448	There's many a true word spoken in jest.
268443	You can't be serious! He's no more a doctor than I am.
520130	Getting into a hot spring at Norikura is great.
268385	Could I have a transfer?
268383*	Do I need to transfer?
268377*	Do you want a ride?
268373*	Please get in.
268354*	I put my coat on the table.
268325	After the hatchet job my boss did on my proposal, I'm not sure how long I want to keep on working here.
268313*	My boss made me work overtime.
268310*	You should know better than to talk back to your boss.
268308*	I skipped out on my appointment with my boss.
268295	There are many more beautiful ladies in Shanghai than in Tokyo.
2722375*	Elephants have long trunks.
268239*	Let me know the details.
268211*	I'm used to being laughed at.
268210*	Don't make me laugh!
1898076*	This isn't funny.
268187*	Please give us three references.
268140	Seicho Matumoto died in 1992.
268132	The chance of promotion disposed him to accept the offer.
268119	Among the guests were the mayor and his wife.
268114*	Did you invite him?
488033*	The floor was covered with blood.
268093*	The floor was covered with dust.
433524*	Get down on the floor!
268060	In his boyhood, Yasunari Kawabata took care of his grandfather.
268056	The boy may have told a lie to please his parents.
268045	The boy has taken the toy away from his little sister.
268040*	The boy looked into the room.
268019	The boy clasped the puppy to his chest.
268018	The boy lay on his back, basking in the spring sunshine.
268011*	The boy bowed to me.
267981*	The boy captured the bird with a net.
267959	The boy has a paint spot on his shirt.
1258446*	It wasn't possible for the boy to swim across the river.
1939683*	Please wait a minute.
681489*	Could you please wait a minute?
3973207*	Will you wait a moment?
1327653	The girl wanted to tell him the truth, but she couldn't.
267857*	The girl trembled with fear.
267843*	The girl was aware of the danger.
267840	The little girl played an angel in the Christmas play.
267586*	It was hard for him to live on his small pension.
267792	Seen at a distance, the rock looked like a human face.
267791	Seen at a distance, the rock looks like a squatting human figure.
258672*	I'm a bit tired.
1939683*	Please wait a minute.
267763*	You seem to have gained some weight.
4111380	Let me take a break, please.
267703	Would you just move along a bit, please?
267695*	Will you give me some?
267677	I'm afraid I have addressed the parcel wrongly.
267636	I'd like to have smaller bills mixed in.
267631	She watched the children playing in the brook.
267607*	Please speak in a low voice.
267594*	I'd like to rent a compact car.
267586*	It was hard for him to live on his small pension.
267583	I've loved French cakes since elementary school.
267560	Little girls are dancing in the woods.
267556*	Little children like to touch everything.
267539	Don't trouble about small things.
1423286*	No one knows what'll happen in the future.
1326184*	I can't help thinking about the future.
267480*	I expect a subway station will be here in the future.
267392*	All hope of winning the game vanished.
267383*	Don't let your imagination run wild.
2953645*	We have no chance of winning.
267368*	There's an outside chance of winning.
267360	Let me see your wound.
267357	The wound discharged pus.
267323	Women are easily moved to tears.
267277	She was even more surprised when she heard Miss Baker say, "Excuse me, but may I change places with you?"
267269*	The queen shook hands with each player after the game.
267263	The Queen lives in Buckingham Palace.
388831*	Both of the girls are wearing white suits.
267216	Bob felt embarrassed when he was treated in front of some girls.
267207	I saw a girl tumble and ran to her in spite of myself.
267186*	There is no use crying for help. No one will hear you.
1126684*	Help me!
267178	I am very much obliged to you for your help.
511477*	Please give me a piece of paper to write on.
267129*	Could you write it down, please?
267128*	You'd better examine the contract carefully before signing.
267123	How are you getting along in these hot days?
1304537*	It was hot, so I turned on the fan.
267069*	Who is in charge of the office while the boss is away?
267055*	Is this your first visit?
267052	Is it open to beginners?
267028	At the beginning, I was bored with radio gymnastics, but now I do not dislike it.
267001	Your initial order is subject to a special discount of 5%.
266993	You have to pace yourself or you'll choke halfway through.
266991	A friend I went with on our first trip abroad had his wallet pickpocketed. I don't think it left a very good impression.
2775345*	Please wait your turn.
266956	Spring is the best season to visit Kyoto.
266950*	Spring is just around the corner.
266919	When spring arrives, I'm going to take up a new sport.
266873*	Please speak as clearly as you can.
266872*	I'll do my best.
266868	Will you please order a copy of the book from the publisher?
266859	Are you ready to set off?
435424*	I'll attend.
370703*	Where are you from?
266812	When I got to the office, I had tons of work waiting for me. I was running around like a chicken with its head cut off.
266806*	I'm bleeding badly.
266805*	Thank you for coming to meet me.
2210653	The stake that sticks out gets hammered down.
854500*	Get lost.
516403*	Please leave.
5279539	Take it out!
1489401*	Please be sure to turn off the light before you leave.
266768*	I've got to shave before leaving.
2706651*	Hand in your homework.
266694	Don't watch TV until you finish your work.
3350176*	I'm busy with homework.
3043096*	Have you already finished your homework?
266666*	I can't go out because I have a lot of homework.
418848*	I have a lot of homework.
266661*	We'll have to camp out if we can't find a place to stay.
266655	My aunt made me a new skirt.
1090169	叔父さんのお見舞いで病院に行きました。
490358*	My uncle gave me his car.
266638	My uncle lived a happy life and died a peaceful death.
266631*	I hear my uncle died of cancer.
266612*	Don't point your gun at me.
266585	The severely injured man was dead on arrival at the hospital.
266582	The ice cracked under the weight.
266568*	I was delayed by a traffic jam.
433859*	I've had enough.
266523*	We should be very careful.
1046137	お金が十分にあれば、このカメラを買えるのに。
6048260	Ask ten people, get ten answers.
266489*	I can have dinner ready by 10 o'clock.
22448*	Where will we meet?
466007*	How was your weekend?
387446*	What're your plans for the weekend?
266417*	You should receive them by the end of the week.
266412*	How many times a week does the soccer team practice?
266395*	It rained on and off all day.
434832*	Have you finished?
266365	Autumn is just around the corner.
266331	I think it needs a tune-up.
266328	I had a lot of pillow fights during my school trip.
266320*	I talk in my sleep very often.
266307	Slaves find power in religion.
266304	You'd better avoid discussion of religion and politics.
266292*	The people standing around were all strangers.
266248*	There is close relationship between supply and demand.
266172	Rwandan rebels are pushing their offensive south as fighting continues in the capital Kigali.
1318674*	The Prime Minister will hold a press conference tomorrow.
1318737*	I woke up with a crick in my neck.
266122*	I bought a bottle of beer at the liquor store.
266115*	I drank too much and was unsteady on my feet.
266091*	I play the guitar in my spare time.
266076	He who touches pitch shall be defiled therewith.
266065*	Help me.
258469*	Will you please help me?
2762840*	Do you want me to help?
266034*	My hands and legs are swollen.
4168400*	How much is the handling charge?
266025	Written by hand, the letter was not very easy to read.
265999	I have to write a letter, but I won't be able to get at it until tomorrow.
265998*	Please wait until I have finished writing this letter.
542518*	Please send me a letter.
251117	I've got no answer to my letter.
965526*	Please contact me by mail.
265961*	This is all the money I have.
265939*	Lend me a hand.
464330*	Wash your hands.
265935	Don't touch.
265932*	You'd better back off.
265926*	Put your hands up!
265917*	You must keep your hands clean.
265886*	It was so cold that he was shivering.
692416*	Please replace it.
265872	A housewife has many domestic duties.
265852	I acted for our captain while he was in the hospital.
19560*	Misfortunes never come singly.
265808*	The lad leaned over and shouted into Tom's ear.
265803*	A group of young men were fighting.
242080*	I wish I were young.
265766*	Young people like popular music.
1341391	I don't remember ever wanting to become a fireman or a baseball player when I was young.
1311787*	You're young.
265721	Because his parents had died when he was young, his uncle brought him up.
265719*	I wish I had studied English harder when I was young.
568403*	You should read a lot of books while you're young.
265676	Julie thinks that she will not be able to pay off all of her debts.
265649*	The snake swallowed a frog.
265631*	I'd like to return a car.
265626*	You should inspect the car well before you buy it.
265625*	I had to borrow money to purchase the car.
265623*	I'm saving money for a car.
265620*	Move your car, please.
17080*	Would you mind lending me your car?
388280*	It cost a lot of money to repair the car.
388281*	It cost $300 to get the car fixed.
516606*	I would like to rent a car.
388283*	How about stopping the car and taking a rest?
388284*	People who drive cars should wear seat belts.
388286*	You should be careful when you drive a car.
388289*	To drive a car, you need a license.
265550	Cars go through the tunnel.
265544*	The car gave a jolt.
265538*	When should I return the car?
265527*	I can see a lady and two dogs in the car.
265526*	With car prices so high, now is the worst time to buy.
388649*	I was almost hit by a car.
265462*	Let's go by car.
265460*	Please come to pick me up.
265457*	Will you drive me home?
265438*	We were stuck for hours in a traffic jam.
1202184	車があればなあ。
265403*	There is nothing to do but apologize.
265399*	I don't see any reason why I have to apologize.
265399*	I don't see any reason why I have to apologize.
265397	They talked about nothing but the news in the company.
265394*	The boss gave us all a day off.
265380	The president is out now.
265379	The president assembled his advisers for a conference.
265361	The news that the president was killed surprised them.
265319	When one lucky spirit abandons you another picks you up. I just passed an exam for a job.
265318	The area around the melting ice cream was crawling with ants.
265288*	Keep off the grass.
1003229*	The actual price was lower than I thought it would be.
265232*	That didn't really happen.
265211	In fact, gorillas have many of the same feelings that people have.
239682	Easier said than done.
351259	The experiment succeeded.
265192	Proper clothes count for much in business.
265153*	To tell the truth, I didn't do my homework.
265148*	To tell the truth, I didn't notice it.
265070	The tree bent under the weight of the fruit.
2064622*	Can I ask something?
265026*	If you have a question, please raise your right hand.
1594*	May I ask a question?
932516*	I've got a question.
265005*	Please excuse me for being rude.
264897	The dictionary is close at hand.
20564*	There is a dictionary on the desk.
264857*	Please take one.
264858	Please take freely.
264854	Having lots of free time, I've decided to study French.
1074776*	It's very difficult to know yourself.
264797	Her eyes ran over the list to see if her name was on it.
2548876*	Clean up your room.
264786*	Keep your room as neat as you can.
264785*	I want to keep my room as neat as possible.
264784*	Keep your room neat and tidy.
264780*	He is reading a book in his room.
434788*	Go back to your seats.
264749*	I don't want to get my hands dirty.
29909*	Mind your own business.
264698	I found no shoes completely to my taste.
264689	You should be more sensitive to how people feel about your words.
264667	It is time to reflect on your past.
264666*	It's time to reflect on your past.
264667	It is time to reflect on your past.
264666*	It's time to reflect on your past.
264620*	You must do what seems right to you.
264615*	If you make your own clothes, it will save you money.
264610*	Try it out yourself.
264589	I was sure I understood it, but on thinking it over, I realized I didn't know at all.
264570*	I feel like another person.
264558	It was not until I had a baby myself that I knew what mother's love is.
24435*	Who do you think you are?
264549*	You always try to get what you want.
264545	Little did I think that I would win the prize.
264538*	Did you study by yourself?
264536	Car manufacturing is carried out by computer-programmed robots in place of human workers.
388282*	May I borrow your car?
264492*	Please move your car out of here.
3639547	The car turned left.
3153641*	I ride a bike to work.
1065468	The Japanese are fortunate to live on islands with hot springs.
353241*	Let me introduce myself.
452218*	Allow me to introduce myself.
264421*	I prefer to work on my own.
264406	Lend me your ears!
29922*	Listen carefully.
619682*	I listened, but I didn't hear anything.
264403	I'd like it above my ears.
264395*	I'm sick of hearing it.
264393*	I have an earache.
264368	Jiro doesn't have to go to school today.
1276131*	What should I do next?
264349	Let me treat you next time, then.
264348*	I expect to sing better next time.
264334*	He proceeded to the next question.
264333	Next person, please.
264297*	What is the next stop?
264296*	You'll find our house at the end of the next street.
658059*	Turn right at the next intersection.
264267*	The next train to the airport departs from platform 2.
264264*	Please come next Friday.
264247	When the next singer came on, it began to rain.
264244*	We'll change trains at the next station.
264240*	You'll have to get off at the next station.
264205*	We'll have lived here for two years next April.
1276131*	What should I do next?
264177*	I have no idea what to do next.
264160	Next, we will talk to Ms. Pam Roland.
264113*	I sometimes go out for a walk.
264109*	Please write to me once in a while.
264108*	Please come to see me from time to time.
264097	Sometimes, one of the politicians can be seen trying to keep the audience's opinions under control during televised debates.
264094*	My dad drops in on me from time to time.
264093	Sometimes, father will ask me unexpectedly.
264091*	I've got a bad case of jet lag.
258132*	I had my watch repaired.
264069*	I lost the watch.
448956*	The clock stopped.
264036	He had just finished his homework when the clock struck ten.
264024	You have to beat the time.
264004*	I'm killing time.
264001*	Give me time.
263993*	We won't be able to arrive home in time.
263992*	Nothing is more important than time.
263985*	We have enough time.
263984*	I had enough time, so I didn't need to hurry.
1106084*	He ran so he would get there on time.
263941*	Time is running out.
263930	I had so little time that I had to eat lunch in a hurry.
263929	Time went quickly.
263926	As time went on, people grew less and less concerned about the matter.
1341292*	You should drop by his gallery if you have time.
263917*	I don't have much time, so I'm going to drop in at a fast-food restaurant.
263844	It is actually true that the less money you have, the less you worry.
263833	I'd like to take that out, please.
263810	The office has been transferred up to the sixth floor.
263770	If things get out of hand, you should call me at the number I gave you yesterday.
263770	If things get out of hand, you should call me at the number I gave you yesterday.
263770	If things get out of hand, you should call me at the number I gave you yesterday.
263729	Accidents will happen when we are off guard.
263717*	It was you that was responsible for the accident.
1334065*	I know you're upset about your car being totaled, but you weren't injured and you should be thankful to be alive.
263678	As soon as the accident occurred, a police car rushed to the scene.
263677	For fear of accidents, please drive slowly.
263662	There must be something at the back of the matter.
263620	I have pus coming out of my gums.
263605	According to dentists, decayed teeth are not always caused by sweets.
263593	If we care for our teeth we won't have cavities.
436653*	I have a toothache.
263519*	I always get nervous just before a match.
263496	Some of the college students who are caught cheating on the exams do not even blush.
263468*	What grade did you get on the test?
1477410*	I studied really hard in order to pass the exam.
263438*	You'll have to work hard if you want to pass the exam.
263411*	I tried writing with my left hand.
1088556	詩を他の言語に翻訳するのは難しい。
263362	I had to leave out this problem for lack of space.
263352*	Paper is made from wood.
263346*	Paper burns easily.
263352*	Paper is made from wood.
263346*	Paper burns easily.
1362056	There were ink blots on the paper.
1273366*	I want some paper.
263273*	We started to walk.
263272*	We sang as we walked.
263264*	We climbed to the top of Mt. Fuji.
263263*	We are husband and wife.
249320*	We admired the beautiful sunset.
263254*	We have a few surprises in store for her.
1293119*	We thought he was an American.
263227*	We provided food and clothes for them.
263224*	We advised them to start early.
263176*	We traveled in South America.
263152	We had been waiting since morning, but he didn't come after all.
263139	We take the blessing of the sun for granted.
1106395	私たちはこないだ英語の先生を訪ねました。
263053*	We adopted a child.
248768	We accustomed our children to sleeping alone.
263029*	We are going to visit our aunt next Sunday.
263021*	We live in the suburbs.
263005*	We took turns driving.
263004*	We got up at four in the morning.
262991*	We saw a stranger walking outside.
1036798	私たちは兄弟みたいなものだ。
262962	We cut away all the grass and weeds around the church.
262914*	We saw nothing strange.
262905*	We studied English.
503838*	We'll go when it quits raining.
262877*	We managed to swim across the river.
262839	We were caught in a shower while we were on a picnic.
262838	We abandoned the plan to go on a picnic.
1288430*	We love going on picnics.
262807*	We happened to meet at the station.
262795	We must think over the issues carefully.
248130	We named the boat the Half Moon.
262766	We admired the beauty of the scenery.
2137248*	We must leave right away.
262739	We elected Jack chairman.
2121282*	We don't get along with each other.
262718*	We competed with each other for the prize.
262690*	We will do anything for you.
262650*	We advanced to the finals.
4521343	Nombramos Tim a ese perro.
497117*	Our teacher will go to the USA next month.
262590	Our city is rather small in comparison with Tokyo.
23453	Since neither one of us could afford to take the other to the movies, we went Dutch.
249592*	We have two daughters.
262541	We have many friends to visit in Tokyo.
262539*	We have a lot of homework to do.
262534	It makes a difference to us whether it rains tomorrow.
262528*	Would you like to eat with us?
262525	It is a good idea for us to play shogi after dinner.
248439*	We'll start as soon as it stops raining.
262496	By the time we reached home, the sun had completely set.
262476*	I wish I had a room of my own.
262467	Get off my back about my personal life!
262454*	Don't deceive me.
591206*	Don't let me become discouraged.
267179*	Help me, please.
262412*	Look at me.
262407*	Please look at me.
321497*	Do you love me?
638891*	Don't disappoint me.
1300817*	I went, too.
262354*	I love music, too.
611071	I also think so.
321985*	Me, too.
262326*	I didn't know you were coming here either.
321985*	Me, too.
262296*	I got up at six.
262294*	I got up about six.
388470*	I gave my seat to the old lady.
262290	I'm saying this out of kindness.
262257*	I like history.
262258*	I have little interest in history.
262254*	I always buy fresh vegetables instead of frozen ones.
2208457*	I don't like being alone.
262227	I have been a disappointment to my parents.
4498315*	I enjoy traveling.
1347327	I admire people who express their opinions frankly.
262171	I was taken aback by a thunderclap.
262167	I will not live in Kobe next year.
262164	I will not live in Sanda next year.
262160*	I am thinking of going abroad next year.
262154*	I am going to go to America next year.
262147*	I am leaving next week.
262138*	I'm leaving for Chicago next week.
262137*	I must calculate how much money I'll spend next week.
262134*	I am going to start a new job next week.
262131	I will buy a new car next month.
259894*	I like dark red better.
262109	I acted the part of a fairy.
262107*	I have a lot of money in my savings account.
262099*	I studied before supper.
2359667*	I've got no friends.
262052*	I have been to the station to see my friend off.
1318768*	I lent my friend some money.
262007*	I am a member of the baseball team.
261995*	I'm used to staying up late at night.
261988	I arrived at Osaka Station at night.
261978	By the look in his eye I could tell that he was speaking tongue in cheek.
261969*	I have a wooden comb.
4195570	I will be busy tomorrow.
261951*	I must remember to buy that book tomorrow.
261951*	I must remember to buy that book tomorrow.
261945*	I'm going to see him tomorrow.
509196	I'll meet him tomorrow.
261926*	I have got to leave here early tomorrow morning.
261916*	I'm leaving for Canada tomorrow.
252660	I am leaving for the United States tomorrow.
549914*	I'm sure that my daughter will pass the exam.
261892*	I have a daughter.
255302	I will accomplish my purpose at any cost.
2236637*	I'm the youngest child in the family.
261867	I am accustomed to studying English every evening.
261858*	I walk every day.
1123567*	I write in my diary every day.
261849*	I run every day.
261844*	I go to work by car every day.
261808	I get on the subway every morning at Ginza.
261804*	I make it a rule to jog every morning.
261789*	I play tennis every Sunday.
261766*	I actually saw a ghost.
256043*	I bought a book.
261737*	I want a book.
261734*	I adjusted the telescope to my vision.
1173627*	We hate violence.
261727*	I cannot afford the time for a vacation.
1190216*	I'm very busy so don't count on me.
261721*	I'm busy.
261702	When I heard it, I was dumbfounded.
250007*	I have three cousins on my mother's side.
261693*	I don't get up as early as my mother.
261687*	I asked my mother if breakfast was ready.
261682*	I ran to my mother.
261673*	I hear from my mother every month.
261672*	I saw my mother hide the cake.
1057412	私は歩いて家に帰らなくてはいけなかった。
261650*	I am going to study.
537021*	I hate studying.
261638*	I looked all around, but I could see nobody there.
261633*	I'm afraid I'm not much of a musician.
250176	I'm not interested in material gain.
261615*	I have trouble with physics.
261606	I am surprised to hear that prices have gone up so high.
261605*	I prefer reading to writing.
1396184*	It seems I have a slight cold.
261586	I caught a cold. That is why I could not attend the meeting yesterday.
261585*	I caught a cold.
261580*	I ripped the envelope open.
261575*	I'm busy looking for an apartment.
261560*	I'm very proud of my father.
261556	I have been to Kyoto station to see my father off.
261551	I am acting for my father.
261546*	I took over my father's job.
261530*	I don't see eye to eye with my father.
261526	I'm proud of my father being a good cook.
261506*	I usually have a light breakfast.
545886*	I usually get up at 8.
2658402*	I usually wake up at 6.
253120*	I usually go to school by bus.
261490*	I've never climbed Mt. Fuji.
2764407*	I'm dissatisfied.
261477*	I'm poor.
261476	I am nothing but a poor peasant.
1174802*	I was absent from school because I was sick.
261452	I was held up on my way to the hospital in a traffic jam.
261436*	I caught a beautiful butterfly.
261428*	I've never flown in an airplane.
1008773*	I own some very old stamps.
252978*	I was too tired to walk any more.
5278342*	I got tired.
387602*	I don't know her.
1318732*	I think she's an honest woman.
261365	I admire her truly.
261363*	I was able to help her.
261362*	I treated her as my own daughter.
402059*	I took her home.
261346*	I don't love her.
261342*	I wanted to surprise her.
395033*	I asked her out on a date.
261316*	I gave in to her demands.
24036*	I'm sick of listening to her complaints.
261304*	I'm very concerned about her illness.
261289*	I had to take care of her baby.
261283*	I accepted her invitation.
261271*	I called her office, but no one answered.
261254*	I don't know the reason for her absence.
261249*	I caught a glimpse of her face.
261204*	I advised her to catch a morning train.
261202*	I bought her a nice Christmas present.
261190*	I was disappointed in her.
426267	I knew her the instant I saw her.
261169*	I'd like to see her.
261166	I met her at the station, but I did not recognize her in uniform.
261146*	I bought a wonderful watch for her.
261140*	I bought her a toy cat, but she wasn't happy with it.
261138*	I advised her to come by 9:00.
261136*	I asked her to pick me up around four.
261126*	I made friends with her.
1396354*	I told her once and for all that I wouldn't go shopping with her.
261118*	I talked to her on the telephone.
261114*	I am engaged to her.
1529665	I spoke with her for one hour.
261105*	I agreed with her.
261101*	I almost never met her.
410070*	She and I are about the same height.
1396354*	I told her once and for all that I wouldn't go shopping with her.
249642*	I have been acquainted with her for more than 20 years.
261093*	I'll never forget going to Hawaii with her.
261087*	I accompanied her on a walk.
249642*	I have been acquainted with her for more than 20 years.
261073*	I helped her hang the picture on the wall.
261070*	I didn't notice her going out of the room.
261051*	I noticed that she was wearing new glasses.
261052*	I noticed she was wearing a new hat.
261041*	I don't like her.
261037*	I arrived at the moment she was leaving.
261031*	I couldn't figure out what she was talking about.
261029*	I saw her swim.
261021*	I was very glad to get a present from her.
1409503*	I didn't get even one letter from her.
1396353*	I didn't notice how she was dressed.
388740*	I'm surprised that she did such a thing.
260981*	I showed him into the room.
260969	I regard him as an enemy.
1174896*	I trust him completely.
260896*	I don't know him at all.
1258628*	I trust him.
260896*	I don't know him at all.
260922*	I gave him a ride in my car last night.
260900*	I remember him well.
260896*	I don't know him at all.
539607	I mistook him for Mr. Brown.
260036*	I don't care for him.
260856*	I asked for their approval.
260852*	I like their pictures.
1456865*	I'm two years younger than he is.
260798*	I don't think he is fit for the job.
395670*	I don't feel that I can trust what he says.
260790*	I doubt his story.
395704*	I was very impressed by his story.
260779*	I was deeply moved by his speech.
260771	I will accept his request.
260758*	I don't know his name.
260752	I was very much shocked to hear his daughter using such bad language.
260746*	I accepted a present from his sister.
260736*	I don't have much faith in his ability.
28940*	I regret not having taken his advice.
28940*	I regret not having taken his advice.
260719*	I acted on his advice.
1318852*	I was unable to go to his birthday party.
260708*	I attended his funeral.
260705*	I was convinced by his explanation.
260697*	I am doubtful of his success.
260678*	I accepted his invitation.
395695	I repeated exactly what he had said.
260666*	I helped him with his homework.
260652	I held fast to his hand.
260644*	I am familiar with the way he asks questions.
260642*	I didn't know how to answer his question.
260630*	I agreed to help him in his work.
392151*	I pretended not to understand what he was saying.
4801052*	I didn't understand what he said.
260600*	I tried to listen to him carefully.
260592*	I could hardly understand him.
1300816*	I agreed with his plan.
1033708	私は彼の気持ちを傷付けたのだろうか。
260553*	I am familiar with his music.
260551*	I was impressed by his music.
260547	I admire his skill at driving.
1048267	彼の報告書に目を通しているところです。
260526*	I held his sleeve.
1318700	I punched his jaw.
260501*	I told him to come.
260500*	I asked him if he would go there the next day.
260497*	I am not acquainted with him.
260495*	I called him a coward to his face.
260490*	I gave him a few books.
260488*	I gave him a book.
260485*	I gave my cold to him.
390971*	I told him to leave the room.
260462*	I haven't met him in person, but I know of him.
260460*	I turned to him for advice.
260454*	I answered for him.
260449	I am in debt to him for 1,000 yen.
260438*	I made him sweep the floor.
260433*	I asked him if he would help me.
260429*	I gave him my address.
260420*	I got him to repair my car.
395061*	I was disappointed in him.
260399*	I paid him four dollars.
260389*	I made him open the door.
395364*	I have something that I want to say to him.
260386	I admonished him against smoking for the sake of his health.
260374*	I gave him a gold watch.
260367	I advised him to give up smoking, but he would not listen to me.
2771581*	I met him.
260355	I advised him not to grieve over the past.
260354	I had him carry my luggage to the platform.
249976*	I didn't know what to say to him.
260348	I advised him against smoking.
260346*	I met him at the station.
260343*	I advised him not to drive.
260275*	I remember seeing him once.
260337*	I am disgusted with him.
395036*	I can't stand him.
260329*	I am no match for him.
260322*	I asked him where I should park my car.
260315*	I don't know anything about him at all.
260314*	I advised him to give up smoking.
260313*	I asked him not to drive so fast.
1362386*	I warned him about the danger.
260296*	I made him do so.
260293*	I advised him to come back at once.
260288*	I caught up with him soon.
260284*	I had him take my suitcase to the room.
1067300	私は彼からこの本を借りた。
260281*	I slipped the letter to him.
395036*	I can't stand him.
260272*	I asked him to lend me some money.
260261*	I paid five dollars to him.
260261*	I paid five dollars to him.
260254*	I congratulated him on the birth of his son.
260252*	I advised him to be independent of his parents.
1081316	私は彼との会話を楽しんだ。
260241*	I want to get in touch with him.
260237*	I competed with him for the championship.
260225*	I've got as much money as he has.
260221*	I have known him a long time.
260219	I am acquainted with him.
260187*	I know him by sight, but I have never actually spoken to him.
260177*	I accompanied him on the trip.
260170	I have been associated with him for ten years.
260153*	I believed that he would keep his promise.
260139*	I thought he was sick.
260128*	I saw him running away.
260117*	I have known him since he was a baby.
260093*	I've never seen him really get down to work.
260076*	I was banking on him to help me.
260076*	I was banking on him to help me.
260046*	I know the real reason for his absence.
260032*	I don't know why he quit the company.
1344202*	I don't know if he's a doctor.
260008*	I am looking forward to hearing from him.
259998*	I got the money back from him.
2348739*	I prefer red wine to white wine.
259916*	I saw a white dog jump over the fence.
259911*	I don't like being asked to go shopping.
2764439*	I'm tall.
259900*	I worked on a farm.
1055837	私は一年に一度、身体検査を受けている。
259879*	I let the cat out of the house.
259860*	I'm leaving on Sunday.
969137*	I'm not home on Sundays.
259849*	I am not always at home on Sundays.
259865*	I'm not always free on Sundays.
28948*	I know an American girl who speaks Japanese very well.
259822*	I speak Japanese, English, and French.
259803*	I live in Japan.
1293307*	I don't eat as much meat as I used to.
29046*	I saw a movie for the first time in two years.
259777*	I am going to stay here for a couple of days.
259733*	I don't want to go anywhere in particular.
259716*	I am the same age.
259713*	I went to the zoo.
259709*	I bought a book about animals.
259696*	I tried to escape.
259690*	I have to be absent from school for the moment.
259677*	I have a deposit of a thousand dollars here.
259661	I have been to Tokyo only once.
259655*	I like summer better than winter.
259651*	I like winter.
259634*	I met Tom on the way.
1055825	私は電話帳で彼の番号を調べた。
254723*	I got off the train.
259608*	I went for a drive in the country.
259600*	I met Tom in front of the store.
259597*	I am waiting for the store to open.
259591*	I'm used to working all night.
259571*	I helped my brother move his desk.
259547	I walked about the street.
1177110	I met her in the street.
259527*	I've spent so many years as chairman that I feel it's time I stepped down.
19847*	I haven't seen him for a long time.
1369395*	I have lived here a long time.
259500*	I live in a town, but my parents live in the country.
259492*	I got up early in the morning.
259479*	I bought a loaf of bread for breakfast.
1105997*	In the morning, I like to put honey on my toast.
259471*	I get up at six in the morning.
259443*	I can speak Chinese, but I can't read it.
259431*	I'm late, aren't I?
259426*	I am accustomed to staying up late.
259424*	I saw a spider walking on the ceiling.
259416*	I like geography and history.
259412*	I am the happiest man on earth.
1318608*	I was glad to hear the news.
259395	I'm a Windows person.
259390*	I like short poems.
259389*	I like short hair.
259379	I have no intention of lending this watch to anyone, much less parting with it.
259371*	I don't know who made the cake.
259355*	I usually get up early in the morning.
259343	I was born in Osaka, but was brought up in Tokyo.
259335	I was born in Osaka.
259335	I was born in Osaka.
259309*	I bought an eight-acre farm for my retirement.
259265	I found it difficult to be kind to others.
259242*	I broke my leg.
259233*	I'm proud of my son.
259230*	I am convinced that my son is innocent.
259225*	I'll buy a watch for my son.
259214*	I got my son to repair the door.
259197*	I'm used to the noise.
1173661*	I can run.
259183*	I looked out the window.
277831*	I'm accustomed to getting up early.
1115775*	I arrived too early.
259166	I do not get up early.
259159*	I have a dim memory of my grandmother.
321559*	I'm not tired at all.
562053*	My body aches all over.
259103*	I walked along the river.
259102*	I like to fish in the river.
259101*	I enjoyed swimming in the river.
2250450*	I swam in the river.
259080*	I was scolded by my teacher.
259080*	I was scolded by my teacher.
259060*	I caught a bad cold last week.
259049*	I caught a cold last month.
259045*	I was in London last month.
259044*	I haven't seen her since last month.
259043*	I changed my address last month.
407138*	There's no way I'm going to do that.
259016*	I like white roses better than red ones.
259010*	I'm not as healthy as I used to be.
259005*	I paid $200 in taxes.
258997*	I have life insurance.
258996*	I was in danger of losing my life.
258980*	I've never seen a live whale.
258968*	I don't agree with the government's policy on education.
